1	R	48
1	J	48
0	J	48
1	R	48
2	N	49
2	J	49
1	W	49
2	R	49
3	N	63
3	J	64
2	E	68
1	J	68
3	R	68
3	W	74
1	R	74
4	N	74
4	J	74
1	W	74
4	R	74
5	N	106
5	J	107
4	W	107
5	R	107
4	J	109
5	E	110
4	R	110
4	W	115
0	R	115
4	J	238
4	R	238
4	W	238
0	R	238
4	J	249
4	R	249
4	W	249
0	R	249
4	J	272
4	R	272
4	W	273
0	R	273
4	J	290
4	R	290
4	W	290
0	R	290
4	J	295
4	R	295
4	W	295
0	R	295
4	J	317
4	R	317
4	W	317
0	R	317
4	J	463
4	R	463
4	W	463
0	R	463
4	J	477
4	R	477
4	W	477
0	R	477
4	J	541
4	R	541
4	W	541
0	R	541
4	J	558
4	R	558
4	W	558
0	R	558
4	J	582
4	R	582
4	W	582
0	R	582
4	J	594
4	R	594
4	W	594
0	R	594
4	J	623
4	R	623
4	W	624
0	R	624
4	J	638
4	R	638
4	W	638
0	R	638
4	J	659
4	R	659
6	N	660
6	J	661
4	W	661
6	R	661
4	J	663
6	E	663
4	R	663
4	W	664
0	R	664
4	J	666
4	R	667
4	W	667
0	R	667
4	J	914
4	R	914
4	W	914
0	R	914
4	J	928
4	R	928
4	W	928
0	R	928
4	J	944
4	R	944
4	W	944
0	R	944
4	J	959
4	R	959
4	W	959
0	R	959
4	J	968
4	R	968
7	N	969
7	J	970
4	W	970
7	R	970
7	E	975
4	J	975
4	R	975
8	N	976
8	J	976
4	W	977
8	R	977
4	J	979
8	E	979
4	R	979
4	W	980
0	R	980
4	J	982
4	R	982
4	W	982
0	R	983
4	J	1407
4	R	1407
4	W	1407
0	R	1407
4	J	1419
4	R	1419
4	W	1419
0	R	1419
4	J	1454
4	R	1454
4	W	1454
0	R	1454
4	J	1468
4	R	1468
4	W	1468
0	R	1468
4	J	1641
4	R	1641
4	W	1641
0	R	1641
4	J	1665
4	R	1666
4	W	1666
0	R	1666
4	J	1681
4	R	1681
4	W	1681
0	R	1681
4	J	1700
4	R	1700
4	W	1700
0	R	1700
4	J	1729
4	R	1729
4	W	1729
0	R	1729
4	J	1749
4	R	1749
4	W	1749
0	R	1749
4	J	1771
4	R	1771
4	W	1771
0	R	1771
4	J	1795
4	R	1795
4	W	1795
0	R	1795
4	J	1813
4	R	1813
4	W	1813
0	R	1813
4	J	1829
4	R	1829
4	W	1829
0	R	1829
4	J	1931
4	R	1932
4	W	1932
0	R	1932
4	J	1961
4	R	1961
4	W	1961
0	R	1961
4	J	2003
4	R	2003
4	W	2003
0	R	2003
4	J	2011
4	R	2011
4	W	2011
0	R	2011
4	J	2040
4	R	2040
4	W	2040
0	R	2040
4	J	2052
4	R	2052
4	W	2052
0	R	2052
4	J	2183
4	R	2183
4	W	2183
0	R	2183
4	J	2200
4	R	2200
4	W	2200
0	R	2200
4	J	2218
4	R	2218
4	W	2218
0	R	2218
4	J	2239
4	R	2239
4	W	2239
0	R	2239
4	J	2257
4	R	2257
4	W	2257
0	R	2257
4	J	2278
4	R	2278
4	W	2278
0	R	2278
4	J	2313
4	R	2314
4	W	2314
0	R	2314
4	J	2330
4	R	2330
4	W	2330
0	R	2330
4	J	2362
4	R	2362
4	W	2362
0	R	2362
4	J	2378
4	R	2379
4	W	2379
0	R	2379
4	J	2415
4	R	2415
4	W	2415
0	R	2415
4	J	2426
4	R	2426
4	W	2426
0	R	2426
4	J	2453
4	R	2453
4	W	2453
0	R	2453
4	J	2469
4	R	2469
4	W	2469
0	R	2469
4	J	2526
4	R	2526
4	W	2526
0	R	2526
4	J	2549
4	R	2549
4	W	2549
0	R	2549
4	J	2646
4	R	2646
4	W	2646
0	R	2647
4	J	2658
4	R	2658
4	W	2658
0	R	2658
4	J	2683
4	R	2683
4	W	2683
0	R	2684
4	J	2695
4	R	2695
4	W	2695
0	R	2695
4	J	2743
4	R	2743
4	W	2743
0	R	2743
4	J	2758
4	R	2759
4	W	2759
0	R	2759
4	J	2797
4	R	2797
4	W	2797
0	R	2797
4	J	2815
4	R	2815
4	W	2815
0	R	2815
4	J	2819
4	R	2819
4	W	2819
0	R	2819
4	J	2832
4	R	2832
4	W	2832
0	R	2832
4	J	2852
4	R	2852
4	W	2852
0	R	2852
4	J	2870
4	R	2870
4	W	2870
0	R	2870
4	J	2897
4	R	2897
4	W	2897
0	R	2898
4	J	2911
4	R	2911
4	W	2911
0	R	2911
4	J	2942
4	R	2942
4	W	2942
0	R	2942
4	J	2959
4	R	2959
4	W	2959
0	R	2959
4	J	2983
4	R	2983
4	W	2984
0	R	2984
4	J	3002
4	R	3002
4	W	3002
0	R	3002
4	J	3014
4	R	3014
4	W	3014
0	R	3014
4	J	3031
4	R	3031
4	W	3032
0	R	3032
3	J	3073
3	R	3073
3	W	3073
0	R	3073
4	J	3149
4	R	3149
4	W	3149
0	R	3149
4	J	3160
4	R	3160
4	W	3160
0	R	3160
4	J	3225
4	R	3225
4	W	3225
0	R	3225
4	J	3240
4	R	3240
4	W	3240
0	R	3240
4	J	3339
4	R	3339
4	W	3339
0	R	3340
4	J	3356
4	R	3356
4	W	3356
0	R	3356
4	J	3369
4	R	3369
4	W	3369
0	R	3369
4	J	3425
4	R	3425
4	W	3425
4	J	3425
4	W	3425
0	R	3425
4	J	3471
4	R	3471
4	W	3471
0	R	3471
4	J	3486
4	R	3486
4	W	3486
0	R	3486
4	J	3550
